"auc","item","ownerRealm","bid","buyout","quantity","timeLeft","rand","seed","context","itemname","itemclass","vendorprice"
"1546148904","4305","Blade's Edge","152475","160500","3","VERY_LONG","0","0","0","Bolt of Silk Cloth","7","600"
"1546607655","44941","Eonar","472750","472750","20","LONG","0","0","0","Fresh-Squeezed Limeade","0","425"
"1546607653","110656","Vek'nilash","2932289","3086620","1","LONG","0","0","0","Enchant Cloak - Gift of Versatility","8","625"
"1546673210","38425","Blade's Edge","1707625","1797500","1","LONG","0","0","0","Heavy Borean Leather","7","13500"
"1546607651","11611","Eonar","3047125","3207500","1","VERY_LONG","0","0","0","Plans: Dark Iron Sunderer","9","3000"
"1546673212","4338","Blade's Edge","106500","112125","75","LONG","0","0","0","Mageweave Cloth","7","250"
"1546673213","14047","Blade's Edge","19071","20085","13","LONG","0","0","0","Runecloth","7","400"
"1546673214","37704","Blade's Edge","159600","168000","2","LONG","0","0","0","Crystallized Life","7","600"
"1546607648","6663","Vek'nilash","47404","49899","1","LONG","0","0","0","Recipe: Elixir of Giant Growth","9","150"
"1546673215","47632","Blade's Edge","4747625","4997500","1","LONG","0","0","0","Pattern: Lunar Eclipse Robes","9","25000"
"1546673186","37705","Blade's Edge","1916664","2017548","12","LONG","0","0","0","Crystallized Water","7","600"
"1546148924","32249","Blade's Edge","16150","17000","2","VERY_LONG","0","0","0","Seaspray Emerald","7","2000"
"1546607670","6384","Eonar","2790625","2937500","1","VERY_LONG","0","0","1","Stylish Blue Shirt","4","250"
"1546607669","44941","Eonar","472750","472750","20","LONG","0","0","0","Fresh-Squeezed Limeade","0","425"
"1546607665","18640","Eonar","949050","999000","1","VERY_LONG","0","0","0","Happy Fun Rock","0","0"
"1546607664","15746","Eonar","2372625","2497500","1","VERY_LONG","0","0","1","Pattern: Chimeric Leggings","9","5000"
"1546673199","7971","Blade's Edge","1353750","1425000","3","LONG","0","0","0","Black Pearl","7","1000"
"1546148876","16204","Blade's Edge","34504","36320","2","VERY_LONG","0","0","0","Light Illusion Dust","7","0"
"1546214412","89674","Blade's Edge","1425000","1500000","1","VERY_LONG","0","0","0","Tense Imperial Amethyst","3","10000"
"1546607647","128650","Eonar","1880","1980","20","VERY_LONG","0","0","0","""Merry Munchkin"" Costume","15","0"
"1546607646","104227","Vek'nilash","348862002","367223160","1","LONG","0","0","0","Technique: Glyph of Pillar of Light","9","0"
"1546673264","82800","Blade's Edge","9481000","9980000","1","LONG","0","0","0","Pet Cage","17","0"
"1546673265","16251","Blade's Edge","47310","49800","1","LONG","0","0","0","Formula: Enchant Bracer - Superior Stamina","9","7500"
"1546673266","74252","Blade's Edge","53010","55800","3","LONG","0","0","0","Small Ethereal Shard","7","0"
"1546673268","154121","Blade's Edge","41040","43200","1","LONG","0","0","0","Scarlet Diamond","7","35000"
"1546673274","76734","Blade's Edge","14963450","15751000","19","LONG","0","0","0","Serpent's Eye","7","5000"
"1546673276","37703","Blade's Edge","573800","604000","4","LONG","0","0","0","Crystallized Shadow","7","600"
"1546673277","38558","Blade's Edge","267900","282000","3","LONG","0","0","0","Nerubian Chitin","7","1100"
"1546673278","34664","Blade's Edge","1256850","1323000","3","LONG","0","0","0","Sunmote","7","22500"
"1546673279","43013","Blade's Edge","1136200","1196000","52","LONG","0","0","0","Chilled Meat","7","150"
"1546673248","152812","Blade's Edge","2726500","2870000","1","LONG","0","0","0","Monel-Hardened Hoofplates","0","0"
"1546673249","152812","Blade's Edge","2726500","2870000","1","LONG","0","0","0","Monel-Hardened Hoofplates","0","0"
"1546673250","47556","Blade's Edge","18810","19800","1","LONG","0","0","0","Crusader Orb","7","2000"
