"auc","item","ownerRealm","bid","buyout","quantity","timeLeft","rand","seed","context","modifiers","petSpeciesId","petBreedId","petLevel","petQualityId"
"1547443262","82800","Eonar","8809800","8809800","1","VERY_LONG","0","0","0","System.Object[]","1597","18","1","2"
"1546951742","82800","Eonar","53900000","55000000","1","LONG","0","0","0","System.Object[]","2201","3","25","3"
"1546951717","82800","Eonar","53900000","55000000","1","LONG","0","0","0","System.Object[]","2463","9","25","3"
"1547443246","82800","Eonar","3861000","3861000","1","VERY_LONG","0","0","0","System.Object[]","1655","15","1","3"
"1547443218","82800","Eonar","84000","84000","1","VERY_LONG","0","0","0","System.Object[]","120","13","1","2"
"1547443201","82800","Eonar","8809800","8809800","1","VERY_LONG","0","0","0","System.Object[]","1597","8","1","2"
"1547263099","82800","Eonar","470000","610000","1","VERY_LONG","0","0","0","System.Object[]","2088","9","1","3"
"1546951804","82800","Eonar","68609800","70010000","1","LONG","0","0","0","System.Object[]","1577","21","25","3"
"1547263078","82800","Eonar","73000","95500","1","VERY_LONG","0","0","0","System.Object[]","1687","3","1","3"
"1547394125","82800","Eonar","96030200","97990000","1","VERY_LONG","0","0","0","System.Object[]","2579","6","1","3"
"1547394225","82800","Eonar","87220000","89000000","1","VERY_LONG","0","0","0","System.Object[]","1598","6","25","3"
"1547394230","82800","Eonar","970200000","990000000","1","VERY_LONG","0","0","0","System.Object[]","2540","3","25","3"
"1547394193","82800","Eonar","69580000","71000000","1","VERY_LONG","0","0","0","System.Object[]","2467","5","25","3"
"1546952060","82800","Eonar","147000000","150000000","1","LONG","0","0","0","System.Object[]","330","10","25","3"
"1546853814","82800","Blade's Edge","117280000","117280000","1","LONG","0","0","0","System.Object[]","1428","17","1","3"
"1546853813","82800","Blade's Edge","59975800","59975800","1","LONG","0","0","0","System.Object[]","310","8","1","3"
"1546853817","82800","Blade's Edge","1497902900","1497902900","1","LONG","0","0","0","System.Object[]","1539","4","1","3"
"1546853816","82800","Blade's Edge","30405800","30405800","1","LONG","0","0","0","System.Object[]","2452","7","1","3"
"1546853823","82800","Blade's Edge","180985800","180985800","1","LONG","0","0","0","System.Object[]","1345","19","1","2"
"1546853821","82800","Blade's Edge","35965800","35965800","1","LONG","0","0","0","System.Object[]","1478","17","1","3"
"1546853859","82800","Blade's Edge","63370000","63370000","1","LONG","0","0","0","System.Object[]","116","12","1","2"
"1546853857","82800","Blade's Edge","85315800","85315800","1","LONG","0","0","0","System.Object[]","1333","18","1","3"
"1546853863","82800","Blade's Edge","174897200","174897200","1","LONG","0","0","0","System.Object[]","215","20","1","2"
"1546853862","82800","Blade's Edge","27329500","27329500","1","LONG","0","0","0","System.Object[]","1570","8","1","3"
"1546853860","82800","Blade's Edge","47497300","47497300","1","LONG","0","0","0","System.Object[]","1567","18","1","3"
"1546853842","82800","Blade's Edge","189795800","189795800","1","LONG","0","0","0","System.Object[]","381","9","1","3"
"1546853840","82800","Blade's Edge","66185800","66185800","1","LONG","0","0","0","System.Object[]","1453","19","1","3"
"1546853847","82800","Blade's Edge","6830000","6830000","1","LONG","0","0","0","System.Object[]","2446","22","1","3"
"1546853845","82800","Blade's Edge","56425800","56425800","1","LONG","0","0","0","System.Object[]","792","3","1","2"
"1546853844","82800","Blade's Edge","299917200","299917200","1","LONG","0","0","0","System.Object[]","1523","5","1","3"
"1546853851","82800","Blade's Edge","161407000","161407000","1","LONG","0","0","0","System.Object[]","1692","10","1","3"
"1546853855","82800","Blade's Edge","58208200","58208200","1","LONG","0","0","0","System.Object[]","279","8","1","3"
"1546853853","82800","Blade's Edge","170151500","170151500","1","LONG","0","0","0","System.Object[]","229","3","1","3"
"1546853852","82800","Blade's Edge","131452900","131452900","1","LONG","0","0","0","System.Object[]","173","7","1","3"
"1546853825","82800","Blade's Edge","53780000","53780000","1","LONG","0","0","0","System.Object[]","1434","15","1","3"
"1546853830","82800","Blade's Edge","49878400","49878400","1","LONG","0","0","0","System.Object[]","95","3","1","2"
"1546853829","82800","Blade's Edge","99555800","99555800","1","LONG","0","0","0","System.Object[]","127","7","1","2"
"1546853834","82800","Blade's Edge","82300000","82300000","1","LONG","0","0","0","System.Object[]","167","13","1","3"
"1546853832","82800","Blade's Edge","149585800","149585800","1","LONG","0","0","0","System.Object[]","1196","19","1","3"
"1546853838","82800","Blade's Edge","127055800","127055800","1","LONG","0","0","0","System.Object[]","1575","20","1","2"
"1546853837","82800","Blade's Edge","18911500","18911500","1","LONG","0","0","0","System.Object[]","166","7","1","2"
"1546853836","82800","Blade's Edge","82060000","82060000","1","LONG","0","0","0","System.Object[]","1200","18","1","3"
"1546886710","82800","Eonar","2458100","3450700","1","LONG","0","0","0","System.Object[]","2715","11","1","3"
"1547345427","82800","Blade's Edge","76332200","77890000","1","LONG","0","0","0","System.Object[]","2429","16","1","2"
"1546952302","82800","Eonar","67624900","69005000","1","LONG","0","0","0","System.Object[]","2544","8","25","3"
"1547148885","82800","Eonar","112642200","112642200","1","VERY_LONG","0","0","0","System.Object[]","2762","18","1","3"
"1546886742","82800","Eonar","2458100","3450700","1","LONG","0","0","0","System.Object[]","2715","11","1","3"
"1547148882","82800","Eonar","51885900","51885900","1","VERY_LONG","0","0","0","System.Object[]","2765","13","1","3"
"1547148892","82800","Eonar","51885900","51885900","1","VERY_LONG","0","0","0","System.Object[]","2765","22","1","3"
"1547148873","82800","Eonar","52786800","52786800","1","VERY_LONG","0","0","0","System.Object[]","2708","4","1","3"
"1546952337","82800","Eonar","73500000","75000000","1","LONG","0","0","0","System.Object[]","157","3","1","2"
"1547050633","82800","Blade's Edge","166250000","175000000","1","LONG","0","0","0","System.Object[]","1953","11","1","3"
"1546952441","82800","Eonar","68413800","69810000","1","LONG","0","0","0","System.Object[]","2549","4","25","3"
"1547460588","82800","Blade's Edge","15108600","15903800","1","VERY_LONG","0","0","0","System.Object[]","1211","14","1","3"
"1547460587","82800","Blade's Edge","9155300","9637200","1","VERY_LONG","0","0","0","System.Object[]","2085","5","1","3"
"1546852381","82800","Eonar","50000100","79990000","1","LONG","0","0","0","System.Object[]","2163","17","1","3"
"1547163716","82800","Vek'nilash","172313900","172313900","1","VERY_LONG","0","0","0","System.Object[]","1432","20","1","3"
"1547376809","82800","Eonar","6433600","6433600","1","VERY_LONG","0","0","0","System.Object[]","78","12","5","2"
"1547016414","82800","Eonar","122220100","122230000","1","LONG","0","0","0","System.Object[]","2681","20","1","3"
"1547442536","82800","Eonar","25000000","25000000","1","VERY_LONG","0","0","0","System.Object[]","1349","4","1","2"
"1547442512","82800","Eonar","2858700","2858700","1","VERY_LONG","0","0","0","System.Object[]","191","3","1","2"
"1547393565","82800","Eonar","75825900","85683000","1","VERY_LONG","0","0","0","System.Object[]","2691","14","1","3"
"1547393564","82800","Eonar","75825900","85683000","1","VERY_LONG","0","0","0","System.Object[]","2691","14","1","3"
"1547000447","82800","Blade's Edge","33853000","34900000","1","LONG","0","0","0","System.Object[]","2201","3","1","3"
"1547393697","82800","Eonar","43129800","44010000","1","VERY_LONG","0","0","0","System.Object[]","89","6","25","3"
"1547000448","82800","Blade's Edge","33853000","34900000","1","LONG","0","0","0","System.Object[]","2201","3","1","3"
"1546869443","82800","Eonar","28153000","29950000","1","LONG","0","0","0","System.Object[]","1665","9","1","3"
"1547393851","82800","Eonar","67620000","69000000","1","VERY_LONG","0","0","0","System.Object[]","85","9","1","2"
"1546951478","82800","Eonar","76445900","78006100","1","LONG","0","0","0","System.Object[]","2042","18","25","3"
"1547393834","82800","Eonar","80369800","82010000","1","VERY_LONG","0","0","0","System.Object[]","1545","21","25","3"
"1547393827","82800","Eonar","77900200","79490000","1","VERY_LONG","0","0","0","System.Object[]","1808","22","25","3"
"1547442966","82800","Blade's Edge","17540000","17540000","1","VERY_LONG","0","0","0","System.Object[]","2437","3","1","3"
"1547442967","82800","Blade's Edge","64990000","64990000","1","VERY_LONG","0","0","0","System.Object[]","1563","17","1","3"
"1547393793","82800","Eonar","97020000","99000000","1","VERY_LONG","0","0","0","System.Object[]","2001","13","25","3"
"1546869610","82800","Vek'nilash","950000","1000000","1","LONG","0","0","0","System.Object[]","2525","15","1","3"
"1547393889","82800","Eonar","73500000","75000000","1","VERY_LONG","0","0","0","System.Object[]","2089","21","25","3"
"1547393858","82800","Eonar","96030200","97990000","1","VERY_LONG","0","0","0","System.Object[]","2538","9","1","2"
"1547443128","82800","Eonar","15557200","15557200","1","VERY_LONG","0","0","0","System.Object[]","2546","11","1","3"
"1547443129","82800","Eonar","14454000","14454000","1","VERY_LONG","0","0","0","System.Object[]","2530","18","1","2"
"1547443125","82800","Eonar","26730000","26730000","1","VERY_LONG","0","0","0","System.Object[]","1570","8","1","3"
"1547443126","82800","Eonar","20592000","20592000","1","VERY_LONG","0","0","0","System.Object[]","1531","17","1","3"
"1547443127","82800","Eonar","19112000","19112000","1","VERY_LONG","0","0","0","System.Object[]","1567","18","1","3"
"1547443122","82800","Eonar","52776900","52776900","1","VERY_LONG","0","0","0","System.Object[]","2760","3","1","3"
"1547443123","82800","Eonar","50377100","50377100","1","VERY_LONG","0","0","0","System.Object[]","2765","13","1","3"
"1547394046","82800","Eonar","73500000","75000000","1","VERY_LONG","0","0","0","System.Object[]","306","21","25","3"
"1547443168","82800","Eonar","79200000","79200000","1","VERY_LONG","0","0","0","System.Object[]","1727","21","1","2"
"1547443165","82800","Eonar","1386000","1386000","1","VERY_LONG","0","0","0","System.Object[]","136","12","1","2"
"1547443167","82800","Eonar","96049800","96049800","1","VERY_LONG","0","0","0","System.Object[]","2684","7","1","2"
"1547443151","82800","Eonar","16731000","16731000","1","VERY_LONG","0","0","0","System.Object[]","1600","16","1","3"
"1547457597","82800","Eonar","68100200","69490000","1","VERY_LONG","0","0","0","System.Object[]","2471","15","25","3"
"1547457598","82800","Eonar","1477400","1507500","1","VERY_LONG","0","0","0","System.Object[]","2544","8","1","3"
"1547457599","82800","Eonar","53900000","55000000","1","VERY_LONG","0","0","0","System.Object[]","1569","17","1","3"
"1547048049","82800","Blade's Edge","5491000","5780000","1","LONG","0","0","0","System.Object[]","1624","4","1","3"
"1547195491","82800","Blade's Edge","7000000","9000000","1","VERY_LONG","0","0","0","System.Object[]","2585","4","1","3"
"1547195492","82800","Blade's Edge","7000000","9000000","1","VERY_LONG","0","0","0","System.Object[]","2586","16","1","3"
"1547048139","82800","Blade's Edge","33250000","35000000","1","LONG","0","0","0","System.Object[]","2580","14","1","3"
"1547457731","82800","Blade's Edge","3188234000","3253300000","1","VERY_LONG","0","0","0","System.Object[]","183","3","1","3"
"1547408667","82800","Blade's Edge","862900","958800","1","SHORT","0","0","0","System.Object[]","1964","3","1","3"
"1547408645","82800","Eonar","166687600","183163400","1","VERY_LONG","0","0","0","System.Object[]","218","4","1","2"
"1547048256","82800","Blade's Edge","14250000","15000000","1","LONG","0","0","0","System.Object[]","1964","8","1","3"
"1547343352","82800","Blade's Edge","11591500","11950000","1","VERY_LONG","0","0","0","System.Object[]","1931","8","1","3"
"1547343353","82800","Blade's Edge","24153000","24900000","1","VERY_LONG","0","0","0","System.Object[]","1458","22","1","3"
"1547343358","82800","Blade's Edge","11591500","11950000","1","VERY_LONG","0","0","0","System.Object[]","1717","20","1","3"
"1547277792","82800","Vek'nilash","200000","200000","1","VERY_LONG","0","0","0","System.Object[]","1804","13","19","3"
"1547277786","82800","Vek'nilash","700000","800000","1","VERY_LONG","0","0","0","System.Object[]","1146","7","1","3"
"1546704434","82800","Eonar","80000100","95000000","1","SHORT","0","0","0","System.Object[]","844","5","1","3"
"1546704435","82800","Eonar","80000100","95000000","1","SHORT","0","0","0","System.Object[]","844","5","1","3"
"1547277843","82800","Vek'nilash","300000","400000","1","VERY_LONG","0","0","0","System.Object[]","1143","18","1","3"
"1547409002","82800","Blade's Edge","99560000","104800000","1","VERY_LONG","0","0","0","System.Object[]","2413","10","1","2"
"1547409001","82800","Blade's Edge","121581000","127980000","1","VERY_LONG","0","0","0","System.Object[]","2689","8","1","2"
"1547408996","82800","Eonar","45000000","45000000","1","VERY_LONG","0","0","0","System.Object[]","2719","9","1","3"
"1547408987","82800","Eonar","70000100","80000000","1","VERY_LONG","0","0","0","System.Object[]","1178","4","1","3"
"1547408984","82800","Eonar","3500000","3500000","1","VERY_LONG","0","0","0","System.Object[]","1934","7","1","3"
"1547408989","82800","Eonar","5000000","5000000","1","VERY_LONG","0","0","0","System.Object[]","1964","3","1","3"
"1547408988","82800","Eonar","5000000","5000000","1","VERY_LONG","0","0","0","System.Object[]","1964","4","1","3"
"1547408971","82800","Eonar","4500000","4500000","1","VERY_LONG","0","0","0","System.Object[]","1538","5","1","2"
"1547409144","82800","Eonar","35000000","35000000","1","VERY_LONG","0","0","0","System.Object[]","1226","4","1","3"
"1547015881","82800","Eonar","77770100","88880000","1","LONG","0","0","0","System.Object[]","2691","14","1","3"
"1547409211","82800","Eonar","35000000","35000000","1","VERY_LONG","0","0","0","System.Object[]","117","3","1","2"
"1547015985","82800","Eonar","46660100","47770000","1","LONG","0","0","0","System.Object[]","2686","16","1","3"
"1547409171","82800","Eonar","20000000","20000000","1","VERY_LONG","0","0","0","System.Object[]","2525","5","1","3"
"1547409161","82800","Eonar","2000000","2000000","1","VERY_LONG","0","0","0","System.Object[]","1907","8","1","3"
"1547015939","82800","Eonar","51110100","53330000","1","LONG","0","0","0","System.Object[]","2708","14","1","3"
"1547015944","82800","Eonar","63330100","64440000","1","LONG","0","0","0","System.Object[]","2697","3","1","3"
"1547458428","82800","Blade's Edge","0","29000000","1","VERY_LONG","0","0","0","System.Object[]","1478","17","1","3"
"1547458429","82800","Blade's Edge","0","79260000","1","VERY_LONG","0","0","0","System.Object[]","1631","15","1","3"
"1547458430","82800","Blade's Edge","0","890755900","1","VERY_LONG","0","0","0","System.Object[]","146","5","1","3"
"1547458431","82800","Blade's Edge","0","156685500","1","VERY_LONG","0","0","0","System.Object[]","2411","19","1","2"
"1547458424","82800","Blade's Edge","0","139170000","1","VERY_LONG","0","0","0","System.Object[]","2415","5","1","2"
"1547458425","82800","Blade's Edge","0","215810000","1","VERY_LONG","0","0","0","System.Object[]","1334","9","1","3"
"1547458426","82800","Blade's Edge","0","69870000","1","VERY_LONG","0","0","0","System.Object[]","2757","22","1","3"
"1547458427","82800","Blade's Edge","0","98869900","1","VERY_LONG","0","0","0","System.Object[]","868","9","1","3"
"1547458420","82800","Blade's Edge","0","159840000","1","VERY_LONG","0","0","0","System.Object[]","1886","6","1","3"
"1547458421","82800","Blade's Edge","0","122230000","1","VERY_LONG","0","0","0","System.Object[]","2681","10","1","3"
"1547458422","82800","Blade's Edge","0","140010000","1","VERY_LONG","0","0","0","System.Object[]","2456","11","1","3"
"1547458423","82800","Blade's Edge","0","129817200","1","VERY_LONG","0","0","0","System.Object[]","1719","17","1","3"
"1547458416","82800","Blade's Edge","0","317870500","1","VERY_LONG","0","0","0","System.Object[]","2555","10","1","3"
"1547458417","82800","Blade's Edge","0","1822523100","1","VERY_LONG","0","0","0","System.Object[]","2186","18","1","3"
"1547458418","82800","Blade's Edge","0","288658500","1","VERY_LONG","0","0","0","System.Object[]","2422","5","1","2"
"1547458419","82800","Blade's Edge","0","90000000","1","VERY_LONG","0","0","0","System.Object[]","1231","3","1","3"
"1547458413","82800","Blade's Edge","0","597614000","1","VERY_LONG","0","0","0","System.Object[]","2444","3","1","3"
"1547458414","82800","Blade's Edge","0","38300000","1","VERY_LONG","0","0","0","System.Object[]","1598","3","1","3"
"1547458415","82800","Blade's Edge","0","220323400","1","VERY_LONG","0","0","0","System.Object[]","1672","6","1","3"
"1546852275","82800","Blade's Edge","60570000","60570000","1","LONG","0","0","0","System.Object[]","46","12","1","2"
"1546852274","82800","Blade's Edge","89567200","89567200","1","LONG","0","0","0","System.Object[]","1336","17","1","3"
"1546852273","82800","Blade's Edge","89765800","89765800","1","LONG","0","0","0","System.Object[]","163","8","1","3"
"1546852279","82800","Blade's Edge","34107200","34107200","1","LONG","0","0","0","System.Object[]","2445","7","1","3"
"1546852277","82800","Blade's Edge","55060000","55060000","1","LONG","0","0","0","System.Object[]","1201","10","1","3"
"1546852276","82800","Blade's Edge","79535800","79535800","1","LONG","0","0","0","System.Object[]","2000","20","1","1"
"1546852281","82800","Blade's Edge","37835800","37835800","1","LONG","0","0","0","System.Object[]","1349","4","1","2"
"1546852280","82800","Blade's Edge","182650000","182650000","1","LONG","0","0","0","System.Object[]","1335","8","1","3"
"1546852287","82800","Blade's Edge","78868500","78868500","1","LONG","0","0","0","System.Object[]","157","3","1","2"
"1546852258","82800","Blade's Edge","587892900","587892900","1","LONG","0","0","0","System.Object[]","115","3","1","2"
"1546852256","82800","Blade's Edge","79725800","79725800","1","LONG","0","0","0","System.Object[]","125","5","1","2"
"1546852262","82800","Blade's Edge","72530000","72530000","1","LONG","0","0","0","System.Object[]","1755","22","1","3"
"1546852267","82800","Blade's Edge","99917200","99917200","1","LONG","0","0","0","System.Object[]","309","18","1","3"
"1546852266","82800","Blade's Edge","149902900","149902900","1","LONG","0","0","0","System.Object[]","1911","3","1","3"
"1546852264","82800","Blade's Edge","587892900","587892900","1","LONG","0","0","0","System.Object[]","1207","22","1","3"
"1546852271","82800","Blade's Edge","58215800","58215800","1","LONG","0","0","0","System.Object[]","1230","6","1","3"
"1546852270","82800","Blade's Edge","66855800","66855800","1","LONG","0","0","0","System.Object[]","1344","7","1","3"
"1546852269","82800","Blade's Edge","296165800","296165800","1","LONG","0","0","0","System.Object[]","1803","19","1","3"
"1546852268","82800","Blade's Edge","49755800","49755800","1","LONG","0","0","0","System.Object[]","237","3","1","2"
"1546852246","82800","Blade's Edge","109951500","109951500","1","LONG","0","0","0","System.Object[]","204","3","1","2"
"1546852251","82800","Blade's Edge","21750000","21750000","1","LONG","0","0","0","System.Object[]","141","22","1","2"
"1546852250","82800","Blade's Edge","89872900","89872900","1","LONG","0","0","0","System.Object[]","1536","3","1","3"
"1546852255","82800","Blade's Edge","28305800","28305800","1","LONG","0","0","0","System.Object[]","2714","3","1","2"
"1546852254","82800","Blade's Edge","56210000","56210000","1","LONG","0","0","0","System.Object[]","292","3","1","2"
"1546852252","82800","Blade's Edge","102757200","102757200","1","LONG","0","0","0","System.Object[]","128","3","1","2"
"1547458440","82800","Blade's Edge","0","199890000","1","VERY_LONG","0","0","0","System.Object[]","114","12","1","3"
"1547458441","82800","Blade's Edge","0","56548200","1","VERY_LONG","0","0","0","System.Object[]","186","4","1","3"
"1547458442","82800","Blade's Edge","0","19526700","1","VERY_LONG","0","0","0","System.Object[]","1954","11","1","3"
"1547458443","82800","Blade's Edge","0","145000000","1","VERY_LONG","0","0","0","System.Object[]","2682","13","1","2"
"1547458436","82800","Blade's Edge","0","44910000","1","VERY_LONG","0","0","0","System.Object[]","2553","15","1","3"
"1547458437","82800","Blade's Edge","0","122500000","1","VERY_LONG","0","0","0","System.Object[]","2117","4","1","3"
"1547458438","82800","Blade's Edge","0","390868000","1","VERY_LONG","0","0","0","System.Object[]","2529","3","1","3"
"1547458439","82800","Blade's Edge","0","435189000","1","VERY_LONG","0","0","0","System.Object[]","1348","8","1","3"
